BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t60,14412.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4277.0,-0.0,-10135.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2895.0,-0.0,-2895.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1382.0,-0.0,-1382.0
t61,14786.228741497556,0.0,-619.2287414975561,0.0,0.0,0.0,0.0,-4203.0,-0.0,-9964.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2845.0,-0.0,-2845.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1358.0,-0.0,-1358.0
t62,13995.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4153.0,-0.0,-9842.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2811.0,-0.0,-2811.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1342.0,-0.0,-1342.0
t63,22738.906828333653,0.0,-12163.255146390313,0.0,0.0,0.0,0.0,-898.6516819433382,-0.0,-9677.0,15340.355576473485,0.0,-10358.834323947567,0.0,0.0,0.0,0.0,-2217.5212525259176,-0.0,-2764.0,0.0,0.0,-1797.1729344692556,0.0,0.0,0.0,0.0,3116.172934469256,-0.0,-1319.0
t64,17647.0774812645,0.0,-4012.0774812644995,0.0,0.0,0.0,0.0,-4047.0,-0.0,-9588.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2739.0,-0.0,-2739.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1308.0,-0.0,-1308.0
t65,10961.41742811501,0.0,-5774.41742811501,0.0,0.0,0.0,0.0,4570.0,-0.0,-9757.0,8686.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2786.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1330.0,-0.0,-1330.0
t66,1532.529525077247,0.0,-0.0,0.0,0.0,0.0,0.0,8890.470474922753,-0.0,-10423.0,8779.523354297482,0.0,-0.0,0.0,0.0,0.0,0.0,-5803.523354297481,-0.0,-2976.0,4507.947120625272,0.0,-0.0,0.0,0.0,0.0,0.0,-3086.947120625272,-0.0,-1421.0
t67,0.0,1909.8335952520538,-0.0,0.0,0.0,0.0,0.0,8822.166404747946,-0.0,-10732.0,3690.8117157459446,5274.188284254055,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3065.0,4385.166404747946,0.0,-0.0,0.0,0.0,0.0,0.0,-2922.166404747946,-0.0,-1463.0
t68,0.0,4379.913096029191,-0.0,0.0,0.0,0.0,0.0,6085.086903970809,-0.0,-10465.0,5435.409045517483,0.0,-0.0,0.0,0.0,0.0,0.0,-2446.409045517483,-0.0,-2989.0,5065.677858453326,0.0,-0.0,0.0,0.0,0.0,0.0,-3638.677858453326,-0.0,-1427.0
t69,0.0,2869.941675026267,-0.0,0.0,0.0,0.0,0.0,7242.058324973733,-0.0,-10112.0,6270.646268763373,0.0,-0.0,0.0,0.0,0.0,0.0,-3382.646268763373,-0.0,-2888.0,5237.41205621036,0.0,-0.0,0.0,0.0,0.0,0.0,-3859.41205621036,-0.0,-1378.0
t70,0.0,1802.116425979978,-0.0,0.0,0.0,0.0,0.0,7805.883574020022,-0.0,-9608.0,8644.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2744.0,3215.883574020022,0.0,-0.0,0.0,0.0,0.0,0.0,-1905.883574020022,-0.0,-1310.0
t71,0.0,813.9501625506582,-0.0,0.0,0.0,0.0,0.0,8088.049837449342,-0.0,-8902.0,6631.049837449342,0.0,-0.0,0.0,0.0,0.0,0.0,-4088.049837449342,-0.0,-2543.0,4229.216112086162,984.783887913838,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1214.0
t72,0.0,599.4291474393267,-0.0,0.0,0.0,0.0,0.0,7569.570852560673,-0.0,-8169.0,6363.192663688193,0.0,-0.0,0.0,0.0,0.0,0.0,-4030.1926636881926,-0.0,-2333.0,4653.378188872481,0.0,-0.0,0.0,0.0,0.0,0.0,-3539.3781888724807,-0.0,-1114.0
t73,0.0,761.8938863040717,-0.0,0.0,0.0,0.0,0.0,6184.106113695929,-0.0,-6946.0,5162.589699880653,2720.410300119347,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-1983.0,1231.1061136959283,0.0,-0.0,0.0,0.0,0.0,0.0,-284.10611369592834,-0.0,-947.0
t74,0.0,6497.8766968639,-0.0,0.0,0.0,0.0,0.0,148.1233031360996,-0.0,-6646.0,2005.1126321911247,0.0,-0.0,0.0,0.0,0.0,0.0,-107.1126321911247,-0.0,-1898.0,947.0106709449749,0.0,-0.0,0.0,0.0,0.0,0.0,-41.01067094497489,-0.0,-906.0
t75,0.0,6923.450423547145,-0.0,0.0,0.0,0.0,0.0,-423.4504235471459,-0.0,-6500.0,1242.299162066734,0.0,-0.0,0.0,0.0,0.0,0.0,613.700837933266,-0.0,-1856.0,1076.2504143861202,0.0,-0.0,0.0,0.0,0.0,0.0,-190.25041438612016,-0.0,-886.0
